company_slug,title,location,url,ats,URL_Status,Close_Reason,Posting_Age_Days
anthropic,Compute Capacity Strategy & Operations,"San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5068424008,Greenhouse,Open,,
anthropic,GTM Strategy & Operations (Enterprise) - EMEA,"London, UK",https://job-boards.greenhouse.io/anthropic/jobs/5005519008,Greenhouse,Open,,
anthropic,Head of GTM Narrative ,"San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/4934660008,Greenhouse,Open,,
anthropic,Private Equity Partnerships Manager,"New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5127645008,Greenhouse,Open,,
ramp,Issuing Partnerships Manager,"New York, NY (HQ)",https://jobs.ashbyhq.com/ramp/671a5957-397b-455e-9d34-04526a784aed,Ashby,Open,,22
ramp,"Financial Partnerships Manager, Stablecoins & Cross-Border Payments","New York, NY (HQ)",https://jobs.ashbyhq.com/ramp/2f9eaac5-ab42-4f00-aa89-6030bb2b5acb,Ashby,Open,,35
ramp,"Financial Partnerships Manager, International","New York, NY (HQ)",https://jobs.ashbyhq.com/ramp/f2ad6068-02e7-4986-967e-804ecef9e043,Ashby,Open,,32
binance,Business Partnership Manager - Payment,Europe,https://jobs.lever.co/binance/b342ec01-d3f9-4df7-bfeb-74d1c3561e77,Lever,Open,,
binance,"Strategic Partnerships Manager, Banking & Corporate",Global,https://jobs.lever.co/binance/ffd1bd02-1211-47e1-88c2-60485c0c993b,Lever,Open,,
bjakcareer,Growth & Partnership Manager ,United Kingdom,https://jobs.ashbyhq.com/bjakcareer/b28988b6-d0ba-4076-bea9-635db1f1d9b5,Ashby,Open,,4
bjakcareer,Senior Partnerships Manager,United Kingdom,https://jobs.ashbyhq.com/bjakcareer/78a246c4-bcba-4652-bbbd-5e59b1a0e420,Ashby,Open,,4
bjakcareer, Chief of Staff - UK,United Kingdom,https://jobs.ashbyhq.com/bjakcareer/9a42908f-c5ca-4408-bf0f-7cf7140bcfd4,Ashby,Open,,4
cvx,Chief of Staff CVX Ventures,"London, United Kingdom",https://job-boards.greenhouse.io/cvx/jobs/6690261003,Greenhouse,Open,,
pattern,"Director of Partnerships, EMEA","London, United Kingdom",https://jobs.lever.co/pattern/fc621c26-c2ef-40bf-9fb4-3fee3d341436,Lever,Open,,
plaid,Partnership Manager - Data Partnerships,New York,https://jobs.lever.co/plaid/17eafdb4-212d-49b6-bf88-a435f82b118e,Lever,Open,,
eucalyptus,Go-to-Market (GTM) Lead,UK - HQ - London,https://job-boards.greenhouse.io/eucalyptus/jobs/4653977005,Greenhouse,Open,,
eucalyptus,Head of Partnerships,UK - HQ - London,https://job-boards.greenhouse.io/eucalyptus/jobs/4609827005,Greenhouse,Open,,
iwoca.co.uk,Partnership Manager,London,https://jobs.ashbyhq.com/iwoca.co.uk/6c9a112c-2986-4932-be16-8667eb4b9ea2,Ashby,Open,,21
octoenergy,Partnerships Manager,London (GB),https://jobs.lever.co/octoenergy/9d3dbeed-8fcd-4d92-9658-fae45f0be720,Lever,Open,,
omnea,Partnerships Director,London,https://jobs.ashbyhq.com/omnea/18551c5e-9fd3-4753-b99a-d6dd7a303725,Ashby,Open,,42
saronic,Strategic Partnerships Manager,"Washington, DC",https://jobs.lever.co/saronic/3c85d102-999e-481d-ba04-9b938cb93043,Lever,Open,,
tilt,Chief of Staff to the CEO,London,https://jobs.ashbyhq.com/tilt/e8e49fea-f0cb-4802-a300-81477b9c3456,Ashby,Open,,36
unlimit,Head of Partnerships,London,https://jobs.lever.co/unlimit/b01c5d26-9123-438b-b7ad-b88821d9e034,Lever,Open,,
unlimit,Regional Commercial Director (EU),Remote Europe,https://jobs.lever.co/unlimit/94f21b18-552b-4012-9121-afe6cd0cd9ed,Lever,Open,,
forter,Director of Strategic Alliances,United States - Remote,https://job-boards.greenhouse.io/forter/jobs/8436236002,Greenhouse,Open,,
forter,Sr. Corporate Development Manager,United States - New York ,https://job-boards.greenhouse.io/forter/jobs/8438082002,Greenhouse,Open,,
