company_slug,title,location,url,updated,ats
formance,Chief of Staff (Maternity leave cover – 6-month fixed-term contract),Paris,https://jobs.ashbyhq.com/formance/2cdde399-3119-4724-8055-88bda00f98ca,2026-03-08T09:55:59.070+00:00,Ashby
trust-wallet,Head of Business Development ,Remote - Global,https://jobs.ashbyhq.com/trust-wallet/74105af8-da2c-4a4c-a8a6-8ea8a04381fc,2026-02-16T04:16:16.925+00:00,Ashby
sentient,Director of Operations/Strategy,Remote - APAC ( Singapore ),https://jobs.ashbyhq.com/sentient/08c6b45b-79bb-48d7-8575-b42a7f87d6ac,2026-03-01T15:45:13.562+00:00,Ashby
dust,Strategic Operations,Paris,https://jobs.ashbyhq.com/dust/3a8f8006-0a29-49f7-9023-dfd868763614,2026-03-02T19:39:22.835+00:00,Ashby
360learning,Revenue Strategy & Operations Manager,"Paris, Remote",https://jobs.lever.co/360learning/a75bf78f-b20c-42fd-8546-3f45479cf520,2025-12-15T08:56:09.023000,Lever
stargate-foundation,Head of Partnerships,"London, UK",https://jobs.ashbyhq.com/stargate-foundation/88ab7c8e-f486-4004-bd33-de8237ab3d3c,2025-02-28T16:50:28.551+00:00,Ashby
coinbase,Chief of Staff to the COO,Remote - USA,https://www.coinbase.com/careers/positions/7298274?gh_jid=7298274,2026-03-06T00:54:32-05:00,Greenhouse
coinbase,"Senior Manager, Strategic Operations",Remote - USA,https://www.coinbase.com/careers/positions/7708267?gh_jid=7708267,2026-03-16T01:22:07-04:00,Greenhouse
upwork,"Sr Director, Corporate Development","Palo Alto, California, United States; Remote",https://job-boards.greenhouse.io/upwork/jobs/7110133003,2026-02-27T09:14:22-05:00,Greenhouse
apolloio,"Go-To-Market Engineer (Success Architect), Managed ","Remote, United States",https://job-boards.greenhouse.io/apolloio/jobs/5778017004,2026-03-16T13:32:09-04:00,Greenhouse
apolloio,"Go-To-Market Engineer (Success Architect), Named (EMEA)","Hybrid, London",https://job-boards.greenhouse.io/apolloio/jobs/5781064004,2026-03-16T13:32:09-04:00,Greenhouse
apolloio,GTM Strategy & Operations Manager - Analytics & Intelligence,"Remote, United States",https://job-boards.greenhouse.io/apolloio/jobs/5762733004,2026-03-16T13:32:09-04:00,Greenhouse
apolloio,GTM Strategy & Operations Manager - Analytics & Intelligence,"Remote, Canada",https://job-boards.greenhouse.io/apolloio/jobs/5762734004,2026-03-16T13:32:09-04:00,Greenhouse
opentable,"Senior Analyst, Revenue Strategy and Operations",USA (Remote),https://job-boards.greenhouse.io/opentable/jobs/8466341002,2026-03-17T13:36:40-04:00,Greenhouse
creatordeck,Director of Partnerships,Remote,https://jobs.lever.co/creatordeck/4350161b-39af-472b-8c91-63c048b8229b,2026-01-09T22:53:43.374000,Lever
