Company,Job_Title,URL,Effective_URL,HTTP_Code,Reason
32Co,Chief of Staff (Operations) at 32Co,https://jobs.lever.co/32Co/5bdbe964-55df-452c-a9af-66f6b27aeeeb,https://jobs.lever.co/32Co/5bdbe964-55df-452c-a9af-66f6b27aeeeb,404,HTTP 404
360Learning,Revenue Strategy & Operations Manager at 360Learning,https://jobs.lever.co/360learning/a75bf78f-b20c-42fd-8546-3f45479cf520,https://jobs.lever.co/360learning/a75bf78f-b20c-42fd-8546-3f45479cf520,404,HTTP 404
Ada,"VP, Partnerships at Ada",https://job-boards.greenhouse.io/ada18/jobs/4976543007,https://job-boards.greenhouse.io/ada18?error=true,200,Greenhouse redirect to ?error=true (job removed)
Addepar,Chief of Staff - R&D at Addepar,https://job-boards.greenhouse.io/addepar1/jobs/8120254002,https://job-boards.greenhouse.io/addepar1?error=true,200,Greenhouse redirect to ?error=true (job removed)
Airalo,"Partnerships Director, North America at Airalo",https://jobs.lever.co/airalo/3eb462b6-c3f7-4dde-8609-465bfc078c0c,https://jobs.lever.co/airalo/3eb462b6-c3f7-4dde-8609-465bfc078c0c,404,HTTP 404
Airalo,Director of Partnerships - North America & Latin America at Airalo,https://jobs.lever.co/airalo/16504e36-d2e1-4edb-9647-3bc3d92ea0a1,https://jobs.lever.co/airalo/16504e36-d2e1-4edb-9647-3bc3d92ea0a1,404,HTTP 404
Aircall,Strategic Partner Manager - LATAM at Aircall,https://jobs.lever.co/aircall/b53f51e4-8231-4db4-942b-ff76cbd7eff2,https://jobs.lever.co/aircall/b53f51e4-8231-4db4-942b-ff76cbd7eff2,404,HTTP 404
Aledade,"Chief of Staff, Provider Networks, Remote at Aledade",https://jobs.lever.co/aledade/45857f04-b169-462a-a191-e93a032d7c9c,https://jobs.lever.co/aledade/45857f04-b169-462a-a191-e93a032d7c9c,404,HTTP 404
Allied Global Marketing,"Director, Partnerships at Allied Global Marketing",https://boards.greenhouse.io/alliedglobalmarketing/jobs/4528695005,https://job-boards.greenhouse.io/alliedglobalmarketing?error=true,404,HTTP 404
Anthropic,Head of UK & Northern Europe Partnerships at Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/4982149008,https://job-boards.greenhouse.io/anthropic?error=true,200,Greenhouse redirect to ?error=true (job removed)
applike group,"Regional Manager, LATAM at applike group",https://jobs.lever.co/applike/b6598a10-a1d7-4ec8-9f0c-513c13371849,https://jobs.lever.co/applike/b6598a10-a1d7-4ec8-9f0c-513c13371849,404,HTTP 404
Archive,Chief of Staff at Archive,https://jobs.lever.co/Archive/4a43118d-b775-4708-841e-a31eba80d204,https://jobs.lever.co/Archive/4a43118d-b775-4708-841e-a31eba80d204,404,HTTP 404
BCGDV,Head of Strategy & Growth - Stealth ClimateTech Venture at BCGDV,https://boards.greenhouse.io/bcgdv/jobs/5922659002,https://job-boards.greenhouse.io/bcgdv?error=true,404,HTTP 404
